ID,Branch_ID,Month,Sales_Amount,Employees,Customer_Rating
1,B01,Jan,45,12,4.2
2,B02,Jan,50,15,4.5
3,B03,Jan,48,14,4.1
4,B04,Jan,52,16,4.6
5,B05,Jan,47,13,4
6,B06,Jan,49,14,4.3
7,B07,Jan,51,15,4.4
8,B08,Jan,46,12,3.9
9,B09,Jan,53,17,4.7
10,B10,Jan,NaN,11,3.8
11,B01,Feb,44,12,4.1
12,B02,Feb,51,15,4.6
13,B03,Feb,49,14,4.2
14,B04,Feb,54,16,4.7
15,B05,Feb,46,13,4
16,B06,Feb,50,14,4.3
17,B07,Feb,52,15,NaN
18,B08,Feb,45,12,3.9
19,B09,Feb,55,17,4.8
20,B10,Feb,NaN,11,3.7
21,B01,Mar,46,12,4.2
22,B02,Mar,52,15,4.6
23,B03,Mar,50,14,4.3
24,B04,Mar,55,16,4.8
25,B05,Mar,48,13,4.1
26,B06,Mar,51,14,4.4
27,B07,Mar,53,15,4.5
28,B08,Mar,47,12,4
29,B09,Mar,56,17,4.8
30,B10,Mar,45,11,
31,B01,Apr,47,12,4.3
32,B02,Apr,53,15,4.6
33,B03,Apr,51,14,4.4
34,B04,Apr,56,16,4.9
35,B05,Apr,49,13,4.2
36,B06,Apr,52,14,4.5
37,B07,Apr,54,15,4.6
38,B08,Apr,48,12,4.1
39,B09,Apr,57,17,4.9
40,B10,Apr,46,11,3.9
41,B01,May,48,12,4.4
42,B02,May,54,15,4.7
43,B03,May,52,14,4.5
44,B04,May,57,16,4.9
45,B05,May,50,13,4.3
46,B06,May,53,14,4.6
47,B07,May,55,15,4.7
48,B08,May,49,12,4.2
49,B09,May,58,17,5
50,B10,May,47,11,4
51,B01,Jun,49,12,4.5
52,B02,Jun,55,15,4.8
53,B03,Jun,53,14,4.6
54,B04,Jun,58,16,5
55,B05,Jun,51,13,4.4
56,B06,Jun,54,14,4.7
57,B07,Jun,56,15,4.8
58,B08,Jun,50,12,4.3
59,B09,Jun,59,17,5
60,B10,Jun,NaN,11,4.1
61,B01,Jul,50,12,4.5
62,B02,Jul,56,15,4.8
63,B03,Jul,54,14,4.6
64,B04,Jul,59,16,5
65,B05,Jul,52,13,4.4
66,B06,Jul,55,14,4.7
67,B07,Jul,57,15,4.8
68,B08,Jul,51,12,4.3
69,B09,Jul,60,17,5
70,B10,Jul,48,11,NaN
71,B01,Aug,51,12,4.6
72,B02,Aug,57,15,4.9
73,B03,Aug,55,14,4.7
74,B04,Aug,60,16,5
75,B05,Aug,53,13,4.5
76,B06,Aug,56,14,4.8
77,B07,Aug,58,15,4.9
78,B08,Aug,52,12,4.4
79,B09,Aug,61,17,5
80,B10,Aug,49,11,4.2
81,B01,Sep,52,12,4.6
82,B02,Sep,58,15,4.9
83,B03,Sep,56,14,4.7
84,B04,Sep,61,16,5
85,B05,Sep,54,13,4.5
86,B06,Sep,57,14,4.8
87,B07,Sep,59,15,4.9
88,B08,Sep,53,12,4.4
89,B09,Sep,62,17,5
90,B10,Sep,50,11,4.3
91,B01,Oct,53,12,4.7
92,B02,Oct,59,15,5
93,B03,Oct,57,14,4.8
94,B04,Oct,62,16,5
95,B05,Oct,55,13,4.6
96,B06,Oct,58,14,4.9
97,B07,Oct,60,15,5
98,B08,Oct,54,12,4.5
99,B09,Oct,63,17,5
100,B10,Oct,NaN,11,4.3
